NOC 2021 Code (5-digit),NOC 2021 Label,NOC 2021 TEER,NOC 2016 Code (4-digit),NOC 2016 Label,NOC 2016 Skill level,Description
10,Legislators,0,11,Legislators,Management / A,N/A
00018,"Senior managers - public and private sector",0,12,Senior government managers and officials,Management / A,N/A
,,,13,"Senior managers - financial, communications and other business services",Management / A,N/A
,,,14,"Senior managers - health, education, social and community services and membership organizations",Management / A,N/A
,,,15,"Senior managers - trade, broadcasting and other services, nec",Management / A,N/A
,,,16,"Senior managers - construction, transportation, production and utilities",Management / A,N/A
10010,Financial managers,0,111,Financial managers,Management / A,N/A
10011,Human resources managers,0,112,Human resources managers,Management / A,NOC 0112 was split. Job titles related to human resources managers moved from NOC 0112 to NOC 10011.
10012,Purchasing managers,0,113,Purchasing managers,Management / A,N/A
10019,Other administrative services managers,0,114,Other administrative services managers,Management / A,Job titles related to other administrative service managers moved from NOC 0114 to NOC 10019.
,,,1227,Court officers and justices of the peace,B,"NOC 1227 was spilt. Job title ""Court registrar"" moved from NOC 1227 to NOC 10019."
10020,"Insurance, real estate and financial brokerage managers",0,121,"Insurance, real estate and financial brokerage managers",Management / A,N/A
10021,"Banking, credit and other investment managers",0,122,"Banking, credit and other investment managers",Management / A,N/A
10022,"Advertising, marketing and public relations managers",0,124,"Advertising, marketing and public relations managers",Management / A,"Job titles related to advertising, marketing and public relations managers moved from NOC 0124 to NOC 10022."
,,,1123,"Professional occupations in advertising, marketing and public relations",A,"NOC 1123 was split. Job title ""social media community manager"" updated to ""social media manager"" moved from NOC 1123 to NOC 10022."
10029,Other business services managers,0,125,Other business services managers,Management / A,N/A
10030,Telecommunication carriers managers,0,131,Telecommunication carriers managers,Management / A,N/A
11100,Financial auditors and accountants,1,1111,Financial auditors and accountants,A,Job titles related to financial auditors and accountants moved from NOC 1111 to NOC 11100.
,,,1114,Other financial officers,A,NOC 1114 was split. Job titles related to financial management moved to NOC 1114 to NOC 11100.
11101,Financial and investment analysts,1,1112,Financial and investment analysts,A,N/A
11102,Financial advisors,1,1114,Other financial officers,A,NOC 1114 was split. Job titles related to financial advisors moved from NOC 1114 to NOC 11102.
11103,"Securities agents, investment dealers and brokers",1,1113,"Securities agents, investment dealers and brokers",A,N/A
11109,Other financial officers,1,1114,Other financial officers,A,NOC 1114 was split. Job titles related to other financial officers moved from NOC 1114 to NOC 11109.
11200,Human resources professionals,1,1121,Human resources professionals,A,Job titles related to human resources professionals moved from NOC 1121 to NOC 11200.
,,,112,Human resources managers,Management / A,"NOC 0112 was split. Job title ""staff training coordinator"" moved from NOC 0112 to NOC 11200."
11201,Professional occupations in business management consulting,1,1122,Professional occupations in business management consulting,A,N/A
11202,"Professional occupations in advertising, marketing and public relations",1,1123,"Professional occupations in advertising, marketing and public relations",A,"NOC 1123 was split. Job titles related to professional occupations in advertising, marketing and public relations moved from NOC 1123 to NOC 11202."
,,,4163,Business development officers and marketing researchers and consultants,A,"NOC 4163 was split. Job title ""marketing consultant"" moved from NOC 4163 to NOC 11202."
12010,"Supervisors, general office and administrative support workers",2,1211,"Supervisors, general office and administrative support workers",B,N/A
12011,"Supervisors, finance and insurance office workers",2,1212,"Supervisors, finance and insurance office workers",B,N/A
12012,"Supervisors, library, correspondence and related information workers",2,1213,"Supervisors, library, correspondence and related information workers",B,N/A
12013,"Supervisors, supply chain, tracking and scheduling coordination occupations",2,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",B,"NOC 1215 was split. Job titles related to supervisors in supply chain, tracking and scheduling coordination occupations moved from NOC 1215 to NOC 12013."
12100,Executive assistants,2,1222,Executive assistants,B,N/A
12101,Human resources and recruitment officers,2,1223,Human resources and recruitment officers,B,N/A
12102,Procurement and purchasing agents and officers,2,1225,Purchasing agents and officers,B,N/A
12103,Conference and event planners,2,1226,Conference and event planners,B,N/A
12104,Employment insurance and revenue officers,2,1228,"Employment insurance, immigration, border services and revenue officers",B,NOC 1228 was split. Job titles related to employment insurance and revenue moved from NOC 1228 to NOC 12104.
12110,"Court reporters, medical transcriptionists and related occupations",2,1251,"Court reporters, medical transcriptionists and related occupations",B,N/A
12111,Health information management occupations,2,1252,Health information management occupations,B,N/A
12112,Records management technicians,2,1253,Records management technicians,B,N/A
12113,Statistical officers and related research support occupations,2,1254,Statistical officers and related research support occupations,B,N/A
12200,Accounting technicians and bookkeepers,2,1311,Accounting technicians and bookkeepers,B,N/A
12201,Insurance adjusters and claims examiners,2,1312,Insurance adjusters and claims examiners,B,N/A
12202,Insurance underwriters,2,1313,Insurance underwriters,B,N/A
12203,"Assessors, business valuators and appraisers",2,1314,"Assessors, valuators and appraisers",B,N/A
13100,Administrative officers,3,1221,Administrative officers,B,N/A
13101,Property administrators,3,1224,Property administrators,B,N/A
13102,Payroll administrators,3,1432,Payroll administrators,C,N/A
13110,Administrative assistants,3,112,Human resources managers,Management / A,"NOC 0112 was split. Job title ""Human resources administrator"" moved from NOC 0112 to NOC 13110."
,,,1241,Administrative assistants,B,Job titles related to administrative assistants moved from NOC 1241 to NOC 13110.
13111,Legal administrative assistants,3,1242,Legal administrative assistants,B,N/A
13112,Medical administrative assistants,3,1243,Medical administrative assistants,B,N/A
13200,"Customs, ship and other brokers",3,1315,"Customs, ship and other brokers",B,N/A
13201,Production and transportation logistics coordinators,3,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",B,"NOC 1215 was split. Job titles related to non-supervisor logistics, freight, transportation positions moved from NOC 1215 to NOC 13201."
,,,1523,Production logistics co-ordinators,C,NOC 1523 was split. Job titles related to production logistic coordination moved from NOC 1523 to NOC 13201.
14100,General office support workers,4,1411,General office support workers,C,N/A
14101,Receptionists,4,1414,Receptionists,C,N/A
14102,Personnel clerks,4,1415,Personnel clerks,C,N/A
14103,Court clerks and related court services occupations,4,1416,Court clerks,C,Job titles related to court clerks moved from NOC 1416 to NOC 14103.
,,,1227,Court officers and justices of the peace,B,NOC 1227 was spilt. Job titles related to court officers and court administrators moved from NOC 1227 to NOC 14103.
14110,Survey interviewers and statistical clerks,4,1454,Survey interviewers and statistical clerks,C,N/A
14111,Data entry clerks,4,1422,Data entry clerks,C,N/A
14112,Desktop publishing operators and related occupations,4,1423,Desktop publishing operators and related occupations,C,N/A
14200,Accounting and related clerks,4,1431,Accounting and related clerks,C,N/A
14201,"Banking, insurance and other financial clerks",4,1434,"Banking, insurance and other financial clerks",C,N/A
14202,Collection clerks,4,1435,Collectors,C,N/A
14300,Library assistants and clerks,4,1451,Library assistants and clerks,C,N/A
14301,"Correspondence, publication and regulatory clerks",4,1452,"Correspondence, publication and regulatory clerks",C,N/A
14400,Shippers and receivers,4,1521,Shippers and receivers,C,N/A
14401,Storekeepers and partspersons,4,1522,Storekeepers and partspersons,C,N/A
14402,Production logistics workers,4,1523,Production logistics co-ordinators,C,NOC 1523 was split. Job titles related to production logistic workers moved from NOC 1523 to NOC 14402.
14403,Purchasing and inventory control workers,4,1524,Purchasing and inventory control workers,C,N/A
14404,Dispatchers,4,1525,Dispatchers,C,N/A
14405,Transportation route and crew schedulers,4,1526,Transportation route and crew schedulers,C,N/A
20010,Engineering managers,0,211,Engineering managers,Management / A,N/A
20011,Architecture and science managers,0,212,Architecture and science managers,Management / A,N/A
20012,Computer and information systems managers,0,213,Computer and information systems managers,Management / A,N/A
21100,Physicists and astronomers,1,2111,Physicists and astronomers,A,N/A
21101,Chemists,1,2112,Chemists,A,N/A
21102,Geoscientists and oceanographers,1,2113,Geoscientists and oceanographers,A,N/A
21103,Meteorologists and climatologists,1,2114,Meteorologists and climatologists,A,N/A
21109,Other professional occupations in physical sciences,1,2115,Other professional occupations in physical sciences,A,N/A
21110,Biologists and related scientists,1,2121,Biologists and related scientists,A,Job titles related to biologists and related scientists moved from NOC 2121 to NOC 21110.
,,,4165,"Health policy researchers, consultants and program officers",A,NOC 4165 was split. Job titles related to clinical research moved from NOC 4165 to NOC 21110.
21111,Forestry professionals,1,2122,Forestry professionals,A,N/A
21112,"Agricultural representatives, consultants and specialists",1,2123,"Agricultural representatives, consultants and specialists",A,N/A
21120,Public and environmental health and safety professionals,1,112,Human resources managers,Management / A,NOC 0112 was split. Job titles related to public and environmental health and safety coordinators moved from NOC 0112 to NOC 21120.
,,,2263,Inspectors in public and environmental health and occupational health and safety,B,NOC 2263 was split. Job titles related to public and environmental health and safety moved from NOC 2263 to NOC 21120
21200,Architects,1,2151,Architects,A,N/A
21201,Landscape architects,1,2152,Landscape architects,A,N/A
21202,Urban and land use planners,1,2153,Urban and land use planners,A,N/A
21203,Land surveyors,1,2154,Land surveyors,A,N/A
21210,"Mathematicians, statisticians and actuaries",1,2161,"Mathematicians, statisticians and actuaries",A,N/A
21211,Data scientists,1,2171,Information systems analysts and consultants,A,NOC 2171 was split. Job titles related to AI analysis and consulting moved from NOC 2171 to NOC 21211.
,,,2172,Database analysts and data administrators,A,NOC 2172 was split. Job titles related to data scientist and data miner moved from NOC 2172 to NOC 21211.
,,,2173,Software engineers and designers,A,NOC 2173 was split. Job title artificial intelligence (AI) designer moved from NOC 2173 to NOC 21211.
21220,Cybersecurity specialists,1,2171,Information systems analysts and consultants,A,NOC 2171 was split. Job titles related to cybersecurity moved from NOC 2171 to NOC 21220.
21221,Business system specialists,1,2171,Information systems analysts and consultants,A,NOC 2171 was split. Job titles related to business systems moved from NOC 2171 to NOC 21211.
21222,Information systems specialists,1,2171,Information systems analysts and consultants,A,NOC 2171 was split. Job titles related to information system specialists moved from NOC 2171 to NOC 21222.
21223,Database analysts and data administrators,1,2172,Database analysts and data administrators,A,NOC 2172 was split. Job titles related to database analysts and data administrators moved from NOC 2172 to NOC 21223.
21230,Computer systems developers and programmers,1,2174,Computer programmers and interactive media developers,A,NOC 2174 was split. Job titles related to computer systems development and programming moved from NOC 2174 to NOC 21230
21231,Software engineers and designers,1,2173,Software engineers and designers,A,NOC 2173 was split. Job titles related to software engineers and designers moved from NOC 2173 to NOC 21231.
21232,Software developers and programmers,1,2174,Computer programmers and interactive media developers,A,NOC 2174 was split. Job titles related to software and multimedia development moved from NOC 2174 to NOC 21232.
21233,Web designers,1,2171,Information systems analysts and consultants,A,"NOC 2171 was split. Job titles ""interactive media consultant"" and ""multimedia consultant"" moved from NOC 2171 to NOC 21233."
,,,2175,Web designers and developers,A,NOC 2175 was split. Job titles related to web design moved from NOC 2175 to NOC 21233.
21234,Web developers and programmers,1,2174,Computer programmers and interactive media developers,A,NOC 2174 was split. Job titles related to web development and programming moved from NOC 2174 to NOC 21234.
,,,2175,Web designers and developers,A,NOC 2175 was split. Job titles related to web development and programing moved from NOC 2175 to NOC 21234.
21300,Civil engineers,1,2131,Civil engineers,A,N/A
21301,Mechanical engineers,1,2132,Mechanical engineers,A,N/A
21310,Electrical and electronics engineers,1,2133,Electrical and electronics engineers,A,N/A
21311,Computer engineers (except software engineers and designers),1,2147,Computer engineers (except software engineers and designers),A,N/A
21320,Chemical engineers,1,2134,Chemical engineers,A,N/A
21321,Industrial and manufacturing engineers,1,2141,Industrial and manufacturing engineers,A,N/A
21322,Metallurgical and materials engineers,1,2142,Metallurgical and materials engineers,A,N/A
21330,Mining engineers,1,2143,Mining engineers,A,N/A
21331,Geological engineers,1,2144,Geological engineers,A,N/A
21332,Petroleum engineers,1,2145,Petroleum engineers,A,N/A
21390,Aerospace engineers,1,2146,Aerospace engineers,A,N/A
21399,Other professional engineers,1,2148,"Other professional engineers, nec",A,N/A
22100,Chemical technologists and technicians,2,2211,Chemical technologists and technicians,B,N/A
22101,Geological and mineral technologists and technicians,2,2212,Geological and mineral technologists and technicians,B,N/A
22110,Biological technologists and technicians,2,2221,Biological technologists and technicians,B,N/A
22111,Agricultural and fish products inspectors,2,2222,Agricultural and fish products inspectors,B,N/A
22112,Forestry technologists and technicians,2,2223,Forestry technologists and technicians,B,N/A
22113,Conservation and fishery officers,2,2224,Conservation and fishery officers,B,N/A
22114,Landscape and horticulture technicians and specialists,2,2225,Landscape and horticulture technicians and specialists,B,N/A
22210,Architectural technologists and technicians,2,2251,Architectural technologists and technicians,B,N/A
22211,Industrial designers,2,2252,Industrial designers,B,N/A
22212,Drafting technologists and technicians,2,2253,Drafting technologists and technicians,B,N/A
22213,Land survey technologists and technicians,2,2254,Land survey technologists and technicians,B,N/A
22214,Technical occupations in geomatics and meteorology,2,2255,Technical occupations in geomatics and meteorology,B,N/A
22220,Computer network and web technicians,2,2281,Computer network technicians,B,N/A
22221,User support technicians,2,2282,User support technicians,B,N/A
22222,Information systems testing technicians,2,2283,Information systems testing technicians,B,N/A
22230,Non-destructive testers and inspectors,2,2261,Non-destructive testers and inspection technicians,B,N/A
22231,Engineering inspectors and regulatory officers,2,2262,Engineering inspectors and regulatory officers,B,N/A
22232,Occupational health and safety specialists,2,2263,Inspectors in public and environmental health and occupational health and safety,B,NOC 2263 was split. Job titles related to occupational health and safety moved from NOC 2263 to NOC 22232.
,,,112,Human resources managers,Management / A,NOC 0112 was split. Job titles related to occupational health and safety specialists moved from NOC 0112 to NOC 22232.
22233,Construction inspectors,2,2264,Construction inspectors,B,N/A
22300,Civil engineering technologists and technicians,2,2231,Civil engineering technologists and technicians,B,N/A
22301,Mechanical engineering technologists and technicians,2,2232,Mechanical engineering technologists and technicians,B,N/A
22302,Industrial engineering and manufacturing technologists and technicians,2,2233,Industrial engineering and manufacturing technologists and technicians,B,N/A
22303,Construction estimators,2,2234,Construction estimators,B,N/A
22310,Electrical and electronics engineering technologists and technicians,2,2241,Electrical and electronics engineering technologists and technicians,B,N/A
22311,Electronic service technicians (household and business equipment),2,2242,Electronic service technicians (household and business equipment),B,Job titles related to electronic service technicians (household and business equipment) moved from NOC 2242 to NOC 22311.
,,,7445,Other repairers and servicers,,"NOC 7445 was split. Job title ""security systems technician"" moved from NOC 7445 to NOC 22311."
22312,Industrial instrument technicians and mechanics,2,2243,Industrial instrument technicians and mechanics,B,N/A
22313,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",2,2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",B,N/A
30010,Managers in health care,0,311,Managers in health care,Management / A,N/A
31100,Specialists in clinical and laboratory medicine,1,3111,Specialist physicians,A,NOC 3111 was split. Job titles related to specialists in clinical and laboratory medicine moved from NOC 3111 to NOC 31100.
31101,Specialists in surgery,1,3111,Specialist physicians,A,NOC 3111 was split. Job titles related to surgery specialists moved from NOC 3111 to NOC 31101.
31102,General practitioners and family physicians,1,3112,General practitioners and family physicians,A,N/A
31103,Veterinarians,1,3114,Veterinarians,A,N/A
31110,Dentists,1,3113,Dentists,A,N/A
31111,Optometrists,1,3121,Optometrists,A,N/A
31112,Audiologists and speech-language pathologists,1,3141,Audiologists and speech-language pathologists,A,N/A
31120,Pharmacists,1,3131,Pharmacists,A,N/A
31121,Dietitians and nutritionists,1,3132,Dietitians and nutritionists,A,N/A
31200,Psychologists,1,4151,Psychologists,A,NOC 4151 was split. Job titles related to psychologists moved from NOC 4151 to NOC 31200. Occupation was moved to the Health sector BOC 3.
31201,Chiropractors,1,3122,Chiropractors,A,N/A
31202,Physiotherapists,1,3142,Physiotherapists,A,NOC 3142 was split. Job titles related to physiotherapy was moved from NOC 3142 to NOC 31202.
31203,Occupational therapists,1,3143,Occupational therapists,A,N/A
31204,Kinesiologists and other professional occupations in therapy and assessment,1,3144,Other professional occupations in therapy and assessment,A,NOC 3144 was split. Job titles related to kinesiologist and other professional therapy and assessment moved from NOC 3144 to NOC 31204.
31209,Other professional occupations in health diagnosing and treating,1,3125,Other professional occupations in health diagnosing and treating,A,NOC 3125 was split. Job titles related to professional occupations in health diagnosing and treating was moved from NOC 3125 to NOC 31209.
31300,Nursing coordinators and supervisors,1,3011,Nursing co-ordinators and supervisors,A,N/A
31301,Registered nurses and registered psychiatric nurses,1,3012,Registered nurses and registered psychiatric nurses,A,N/A
31302,Nurse practitioners,1,3124,Allied primary health practitioners,A,NOC 3124 was split. Job titles related to nurse practitioner moved from NOC 3124 to new NOC 31302.
31303,"Physician assistants, midwives and allied health professionals",1,3124,Allied primary health practitioners,A,"NOC 3124 was split. Job titles related to physician assistants, midwives and allied health professionals moved from NOC 3124 to NOC 31303."
,,,3125,Other professional occupations in health diagnosing and treating,A,NOC 3125 was split. Job titles related to Orthoptist moved from NOC 3125 to NOC 31303.
,,,3212,Medical laboratory technicians and pathologists' assistants,B,NOC 3212 was split. Job titles related to pathologist assistant moved from NOC 3212 to NOC 31303.
,,,4153,"Family, marriage and other related counsellors",A,"NOC 4153 was split. Job title ""Genetic counsellor"" moved from NOC 4153 to NOC 31303."
32100,Opticians,2,3231,Opticians,B,N/A
32101,Licensed practical nurses,2,3233,Licensed practical nurses,B,N/A
32102,Paramedical occupations,2,3234,Paramedical occupations,B,N/A
32103,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",2,3124,Allied primary health practitioners,A,"NOC 3124 was split. Job title ""anesthesia assistant"" moved from NOC 3124 to NOC 32103."
,,,3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",B,"Job titles related to respiratory therapists, clinical perfusionists and cardiopulmonary technologists moved from NOC 3214 to NOC 32103."
32104,Animal health technologists and veterinary technicians,2,3213,Animal health technologists and veterinary technicians,B,N/A
32109,Other technical occupations in therapy and assessment,2,3142,Physiotherapists,A,"NOC 3142 was split. Job title ""Physical rehabilitation therapist"" moved from NOC 3142 to NOC 32109."
,,,3237,Other technical occupations in therapy and assessment,B,NOC 3237 was split. Job titles related to other technical occupations in therapy and assessment moved from NOC 3237 to NOC 32109.
,,,3414,Other assisting occupations in support of health services,C,NOC 3414 was split. Job titles related to rehabilitation and therapy assistants moved from NOC 3414 to NOC 32109.
32110,Denturists,2,3221,Denturists,B,N/A
32111,Dental hygienists and dental therapists,2,3222,Dental hygienists and dental therapists,B,N/A
32112,Dental technologists and technicians,2,3223,"Dental technologists, technicians and laboratory assistants",B,NOC 3223 was split. Job titles related to dental technologist and technicians moved from NOC 3223 to NOC 32112.
32120,Medical laboratory technologists,2,3211,Medical laboratory technologists,B,Job titles related to medical laboratory technologists moved from NOC 3211 to NOC 32120.
,,,3212,Medical laboratory technicians and pathologists' assistants,B,"NOC 3212 was split. Job title ""combined laboratory and x-ray technician"" moved from NOC 3212 to NOC 32120."
32121,Medical radiation technologists,2,3215,Medical radiation technologists,B,N/A
32122,Medical sonographers,2,3216,Medical sonographers,B,N/A
32123,Cardiology technologists and electrophysiological diagnostic technologists,2,3217,"Cardiology technologists and electrophysiological diagnostic technologists, nec",B,N/A
32124,Pharmacy technicians,2,3219,Other medical technologists and technicians,B,NOC 3219 was split. Job titles related to pharmacy technician moved from NOC 3219 to NOC 32124.
32129,Other medical technologists and technicians,2,3219,Other medical technologists and technicians,B,NOC 3219 was split. Job titles related to other medical technologist and technicians moved from NOC 3219 to NOC 32129.
32200,Traditional Chinese medicine practitioners and acupuncturists,2,3232,Practitioners of natural healing,B,NOC 3232 was split. Job titles related to traditional chinese medicine practitioner and acupuncturist moved from NOC 3232 to NOC 32200.
32201,Massage therapists,2,3236,Massage therapists,B,N/A
32209,Other practitioners of natural healing,2,3232,Other practitioners of natural healing,B,NOC 3232 was split. Job titles related other practitioners of natural healing moved from NOC 3232 to NOC 32209.
33100,Dental assistants and dental laboratory assistants,3,3223,"Dental technologists, technicians and laboratory assistants",B,NOC 3223 was split. Job titles related to dental assistant and dental laboratory assistant moved from NOC 3223 to NOC 33100.
,,,3411,Dental assistants,C,Job titles related to dental assistants moved from NOC 3411 to NOC 33100.
33101,Medical laboratory assistants and related technical occupations,3,3212,Medical laboratory technicians and pathologists' assistants,B,NOC 3212 was split. Job titles related to medical laboratory assistants and related technical occupations was moved from NOC 3212 to NOC 33101.
33102,"Nurse aides, orderlies and patient service associates",3,3413,"Nurse aides, orderlies and patient service associates",C,N/A
