"Drupal","SSoT","Kentico","Job Board Search ID","Job Board Save Profile ID"
"Accommodation and Food Services","Accommodation and Food Services","Accommodation-and-Food-Services","37","1"
"Agriculture and Fishing","Agriculture and Fishing","Agriculture-and-Fishing","1","2"
"Business, Building and Other Support Services","Business, Building and Other Support Services","Business-Building-and-Other-Support-Services","40,23,41","3"
"Construction","Construction","Construction","23","4"
"Educational Services","Educational Services","Educational-Services","34","5"
"Finance, Insurance and Real Estate","Finance, Insurance and Real Estate","Finance-Insurance-and-Real-Estate","29,30","6"
"Forestry, Logging and Support Activities","Forestry, Logging and Support Activities","Forestry-and-Logging-with-Support-Activities","1","8"
"Health Care and Social Assistance","Health Care and Social Assistance","Health-Care-and-Social-Assistance","35","9"
"Information, Culture and Recreation","Information, Culture and Recreation","Information-Culture-and-Recreation","28,36","10"
"Manufacturing","Manufacturing","Manufacturing","24","11"
"Mining and Oil and Gas Extraction","Mining and Oil and Gas Extraction","Mining-and-Oil-and-Gas-Extraction","21","13"
"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services","Professional-Scientific-and-Technical-Services","31","15"
"Public Administration","Public Administration","Public-Administration","39","16"
"Repair, Personal and Non-Profit Services","Repair, Personal and Non-Profit Services","Repair-Personal-and-Non-Profit-Services","43,44,45","14"
"Retail Trade","Retail Trade","Retail-Trade","26","19"
"Transportation and Warehousing","Transportation and Warehousing","Transportation-and-Warehousing","27","17"
"Utilities","Utilities","Utilities","22","12"
"Wholesale Trade","Wholesale Trade","Wholesale-Trade","25","18"
"British Columbia","british_columbia","British-Columbia", "Cariboo,Kootenay,North Coast & Nechako,Northeast,Mainland / Southwest,Thompson-Okanagan,Vancouver Island / Coast",""
"North Coast and Nechako","north_coast_nechako","North-Coast-Nechako","North Coast & Nechako",""
"Northeast","northeast","Northeast","Northeast",""
"Cariboo","cariboo","Cariboo","Cariboo",""
"Kootenay","kootenay","Kootenay","Kootenay",""
"Thompson-Okanagan","thompson_okanagan","Thompson-Okanagan","Thompson-Okanagan",""
"Mainland/Southwest","mainland_southwest","Mainland-Southwest","Mainland / Southwest",""
"Vancouver Island/Coast","vancouver_island_coast","Vancouver-Island-Coast","Vancouver Island / Coast",""