,,,,,,,,,,,
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc&g=1","One example of 7 regional pages needed",,,,,,"One example of: 7 Regional Pages",,,"https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/Persons-with-Disabilities/Mainland-Southwest.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=dst01w&p=l2_-_bc_industries___sectors&g=1",,,,,"BladeRunners Program for At-Risk Young Adults",,,,,"https://www.workbc.ca/Employment-Services/Labour-Market-Programs/Bladerunners-Program.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc&g=1",,,,,,"Overview",,,,"New Page",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1",,,,,,"Programs",,,,"https://www.workbc.ca/Employment-Services/Labour-Market-Programs/Bladerunners-Program/Service-Providers.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=dst01w&p=l2_-_bc_industries___sectors&g=1",,,,"Trades Training",,,,,"yes","https://www.workbc.ca/Training-Education/Trades-Training.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc&g=1",,,,,"Trades Training Programs",,,,"yes","https://www.workbc.ca/Training-Education/Trades-Training/Access-trade-training-programs-(1).aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc&g=1",,,,,"About Apprenticeship",,,,"yes","https://www.workbc.ca/Training-Education/Trades-Training/About-Apprenticeship.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=dst01w&p=l2_-_bc_industries___sectors&g=1",,,,,"Pre-Apprenticeship Programs",,,,"yes","https://www.workbc.ca/Training-Education/Trades-Training/Pre-Apprentice-Programs.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,,"Indigenous People in Trades Training",,,,"New Page",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,,"Women in Trades Training",,,,"New Page",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,,"Equity Seeking Groups in Trades Training",,,,"New Page",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,,"Persons with Disabilities in Trades Training",,,,"New Page",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc&g=1",,,,"Post-Secondary Education",,,,,"yes","https://www.workbc.ca/Training-Education/Post-Secondary.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc&g=1",,,,"Co-operative Education",,,,,"yes","https://www.workbc.ca/Training-Education/Co-operative-Education.aspx",
,,,,,,,,,,,
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=wuwi4b&p=l1_-_research_the_labour_market_-_approved&g=1",,,"Research the Labour Market",,,,,,"yes","https://www.workbc.ca/Labour-Market-Industry.aspx","Landing page"
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=1lfvda&p=l2_-_industry___employers_-_approved&g=1",,,,"B.C.'s Economy",,,,,"yes","https://www.workbc.ca/Labour-Market-Industry/B-C-s-Economy.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=74lpyu&p=l3_-_labour_market_monthly_update_-_approved&g=1",,,,,"Labour Market Monthly Update",,,,"yes","https://www.workbc.ca/Labour-Market-Industry/B-C-s-Economy/Labour-market-snapshots.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,"Green Economy",,,,"yes","https://www.workbc.ca/Labour-Market-Industry/B-C-s-Economy/Green-Economy.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=5q3hkt&p=l3_-_guide_to_using_labour_market_info_-_wip&g=1",,,,,"Guide to Using Labour Market Information",,,,"yes","https://www.workbc.ca/Labour-Market-Industry/B-C-s-Economy/Guide-to-using-Labour-Market-Information.aspx",
,,,,,"Reports",,,,"yes","New Page",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,,"Workforce Development Agreement and Annual Reports",,,,"https://www.workbc.ca/Labour-Market-Industry/B-C-s-Economy/Workforce-Development-Agreement-and-Annual-Reports.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,"B.C.’s Labour Market Outlook: 2021 Edition",,,,,"yes","https://www.workbc.ca/Labour-Market-Industry/Labour-Market-Outlook.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=yulkld&p=l2_-_high_opportunity_occupations_-_approved&g=1",,,,"High Opportunity Occupations",,,,,"yes","https://www.workbc.ca/Labour-Market-Industry/High-Opportunity-Occupations.aspx",
,,,,"Top Demand Trades",,,,,"yes","https://www.workbc.ca/Labour-Market-Industry/Top-Demand-Trades.aspx",
,,,,"B.C. and Regional Profiles",,,,,"yes","https://www.workbc.ca/Labour-Market-Industry/Regional-Profiles.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=fq8d58&p=l3_-_bc_profile_-_wip&g=1",,,,,"British Columbia",,,,"yes","https://www.workbc.ca/Labour-Market-Information/Regional-Profiles/British-Columbia",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=n03atv&p=l3_-_regional_profile_-_wip&g=1",,,,,"North Coast and Nechako",,,,"yes","https://www.workbc.ca/Labour-Market-Information/Regional-Profiles/North-Coast-Nechako",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=n03atv&p=l3_-_regional_profile_-_wip&g=1",,,,,"Vancouver Island / Coast",,,,"yes","https://www.workbc.ca/Labour-Market-Information/Regional-Profiles/Vancouver-Island-Coast",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=n03atv&p=l3_-_regional_profile_-_wip&g=1",,,,,"Mainland / Southwest",,,,"yes","https://www.workbc.ca/Labour-Market-Information/Regional-Profiles/Mainland-Southwest",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=n03atv&p=l3_-_regional_profile_-_wip&g=1",,,,,"Northeast",,,,"yes","https://www.workbc.ca/Labour-Market-Information/Regional-Profiles/Northeast",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=n03atv&p=l3_-_regional_profile_-_wip&g=1",,,,,"Cariboo",,,,"yes","https://www.workbc.ca/Labour-Market-Information/Regional-Profiles/Cariboo",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=n03atv&p=l3_-_regional_profile_-_wip&g=1",,,,,"Thompson-Okanagan",,,,"yes","https://www.workbc.ca/Labour-Market-Information/Regional-Profiles/Thompson-Okanagan",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=n03atv&p=l3_-_regional_profile_-_wip&g=1",,,,,"Kootenay",,,,,"https://www.workbc.ca/Labour-Market-Information/Regional-Profiles/Kootenay",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=dst01w&p=l2_-_bc_industries___sectors_-_approved&g=1",,,,"B.C.’s Industries and Sectors",,,,,,"https://www.workbc.ca/Labour-Market-Industry/Industry-and-Sector-Information.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=y8jbn6&p=l3_-_industry_profiles_-_wip&g=1",,,,,"Industry Profiles",,,,"yes","https://www.workbc.ca/Labour-Market-Industry/Industry-and-Sector-Information/Industry-Profiles.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=yypyme&p=l4_-_accommodation___food_services_-_wip&g=1","One example of 18 Profile Pages needed",,,,,"One example of: 18 Profile Pages",,,,"https://www.workbc.ca/Labour-Market-Information/Industry-Information/Industry-Profiles/Accommodation-and-Food-Services",
,,,,,,,,,,,
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=o80809&p=l1_-_access_employer_resources&g=1",,,"Access Employer Resources",,,,,,"yes","https://www.workbc.ca/Employer-Resources.aspx","Landing page"
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=2j8trz&p=l2_-_hire_employees&g=1",,,,"Hire Employees",,,,,"yes","New Page","Landing page"
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1",,,,,"Find Workers",,,,"yes","https://www.workbc.ca/Employer-Resources/Your-Workforce/Job-board-benefits.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc&g=1",,,,,,"Frequently Asked Questions for Employers",,,,"https://www.workbc.ca/Employer-Resources/Your-Workforce/Job-board-benefits/Frequently-Asked-Questions-for-Employers.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1",,,,,"Create an Inclusive Workplace",,,,"yes","https://www.workbc.ca/Employer-Resources/Your-Workforce/The-Diversity-Advantage.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1",,,,,"Apprentices",,,,,"https://www.workbc.ca/Employer-Resources/Your-Workforce/Apprentices.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=2j8trz&p=l2_-_hire_employees&g=1",,,,"Manage Employees",,,,,"yes","New Page",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=dst01w&p=l2_-_bc_industries___sectors&g=1",,,,,"Skills Training",,,,,"https://www.workbc.ca/Employer-Resources/Skills-Training.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1",,,,,,"Essential Skills and Literacy",,,,"https://www.workbc.ca/Employer-Resources/Skills-Training/Essential-Skills-Literacy.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1",,,,,"Support Your Workforce",,,,"yes","https://www.workbc.ca/Employer-Resources/Your-Workforce/Support-your-workforce.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1",,,,,"Workplace Rights",,,,"yes","https://www.workbc.ca/Employer-Resources/Your-Workforce/Workplace-Rights.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=2j8trz&p=l2_-_hire_employees&g=1",,,,"Manage Your Business",,,,,"yes","https://www.workbc.ca/Employer-Resources/Business-Resources.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc&g=1",,,,,"Planning Resources",,,,"yes","https://www.workbc.ca/Employer-Resources/Business-Resources/Planning-Resources.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1",,,,,"Support Services",,,,"yes","https://www.workbc.ca/Employer-Resources/Business-Resources/Support-Services.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1",,,,,"Growing your Business",,,,"yes","https://www.workbc.ca/Employer-Resources/Business-Resources/International-Growth.aspx",
,,,,,,,,,,,
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=vnr6oo&p=l1_-_find_loans___grants_-_approved&g=1",,,"Find Loans & Grants",,,,,,"yes","New Page","Landing page"
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=1lfvda&p=l2_-_industry___employers_-_approved&g=1",,,,"Industry & Employers",,,,,"yes","New Page","Landing page"
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=vy8q0q&p=l3_-_bc_employer_training_grant_-_approved&g=1",,,,,"B.C. Employer Training Grant",,,,"yes","https://www.workbc.ca/Employer-Resources/BC-Employer-Training-Grant.aspx","Landing page"
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=5q3hkt&p=l3_-_guide_to_using_labour_market_info_-_wip&g=1",,,,,,"What is the B.C. Employer Training Grant program?",,,,"https://www.workbc.ca/Employer-Resources/BC-Employer-Training-Grant/What-is-the-B-C-Employer-Training-Grant.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,,"What's New",,,,"https://www.workbc.ca/Employer-Resources/BC-Employer-Training-Grant/What-s-new.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1",,,,,,"Frequently Asked Questions",,,,"https://www.workbc.ca/Employer-Resources/BC-Employer-Training-Grant/What-is-the-B-C-Employer-Training-Grant/Frequently-Asked-Questions.aspx",
,,,,,,"Eligibility Criteria",,,,"https://www.workbc.ca/getmedia/6e2d9797-4503-4675-b8a3-68e350ff1f78/ETG-Eligibility-Criteria-Version-List.pdf.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,,"How to Claim for Reimbursement",,,,"https://www.workbc.ca/getmedia/33f85e91-e8f8-4a90-a694-2fa5f1d0bdb7/Reimbursement-Guidelines.pdf.aspx",
,,,,,,"Application Support and Troubleshooting",,,,"https://www.workbc.ca/getmedia/fa350c16-22b9-4958-937c-8687c074813c/Application-Support-and-Troubleshooting.pdf.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=vy8q0q&p=l3_-_bc_employer_training_grant_-_approved&g=1",,,,,"Sector Labour Market Partnerships Program",,,,"yes","https://www.workbc.ca/Labour-Market-Industry/Sector-Labour-Market-Partnerships-Program.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,,"Program Priorities During COVID-19",,,,"https://www.workbc.ca/Labour-Market-Industry/Sector-Labour-Market-Partnerships-Program/SLMP-Program-Priorities-During-COVID-19.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1",,,,,,"Who Should Apply",,,,"https://www.workbc.ca/Labour-Market-Industry/Sector-Labour-Market-Partnerships-Program/Who-Should-Apply.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1",,,,,,,"More About SLMP Program Priorities",,,"https://www.workbc.ca/Labour-Market-Industry/Sector-Labour-Market-Partnerships-Program/Who-Should-Apply/Project-Priorities.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,,"Statement of Intent",,,,"https://www.workbc.ca/Labour-Market-Industry/Sector-Labour-Market-Partnerships-Program/Program-Intent.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=5q3hkt&p=l3_-_guide_to_using_labour_market_info_-_wip&g=1",,,,,,"Projects",,,,"https://www.workbc.ca/Labour-Market-Industry/Sector-Labour-Market-Partnerships-Program/Program-Priorities-and-Project-Activities.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,,"Resources for Projects",,,,"https://www.workbc.ca/Labour-Market-Industry/Sector-Labour-Market-Partnerships-Program/Resources-for-Projects.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1",,,,,,"Reports",,,,"https://www.workbc.ca/Labour-Market-Industry/Sector-Labour-Market-Partnerships-Program/Sector-Labour-Market-Partnerships-Reports.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,"Finance Your Business",,,,"yes","https://www.workbc.ca/Employer-Resources/Funding-and-Programs/Loans-Grants-and-Funding.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,"Incentives & Tax Credits",,,,"yes","https://www.workbc.ca/Employer-Resources/Funding-and-Programs/Incentives-and-Tax-Credits.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=dst01w&p=l2_-_bc_industries___sectors_-_approved&g=1",,,,"Community",,,,,"yes","New Page",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=vy8q0q&p=l3_-_bc_employer_training_grant&g=1",,,,,"Community Workforce Response Grant",,,,"yes","https://www.workbc.ca/Employment-Services/Community-Workforce-Response-Grant.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,,"Grant Overview",,,,"https://www.workbc.ca/Employment-Services/Community-Workforce-Response-Grant/Grant-Overview.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1",,,,,,"What's New",,,,"https://www.workbc.ca/Employment-Services/Community-Workforce-Response-Grant/What-s-New.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,,"Skills Training for Economic Recovery Stream",,,,"https://www.workbc.ca/Employment-Services/Community-Workforce-Response-Grant/Skills-Training-for-Economic-Recovery-Stream.aspx",
,,,,,,,"Skills Training for Economic Recovery Stream Criteria",,,"https://www.workbc.ca/getmedia/cead8f15-b7bc-4719-b65d-55da457164db/Skills-Training-for-Economic-Recovery-Criteria.pdf.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,,"Workforce Shortages Stream",,,,"https://www.workbc.ca/Employment-Services/Community-Workforce-Response-Grant/Workforce-Shortages.aspx",
,,,,,,,"Workforce Shortages Stream Criteria",,,"https://www.workbc.ca/getmedia/017db86e-c3fd-4480-b6c1-cb98b0eab03c/Workforce-Shortages-Criteria.pdf.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,,"Emerging Priorities Stream",,,,"https://www.workbc.ca/Employment-Services/Community-Workforce-Response-Grant/Emerging-Priorities.aspx",
,,,,,,,"Emerging Priorities Stream Criteria",,,"https://www.workbc.ca/getmedia/e73338b3-a833-4ec3-9eb1-55676b62f364/Emerging-Priorities-Criteria.pdf.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,,"Indigenous Communities Stream",,,,"https://www.workbc.ca/Employment-Services/Community-Workforce-Response-Grant/Indigenous-Communities.aspx",
,,,,,,,"Indigenous Communities Stream Criteria",,,"https://www.workbc.ca/getmedia/fffe93cc-38ed-49a6-85ce-dafe289b069d/Indigenous-Communities-Criteria.pdf.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1",,,,,,"Frequently Asked Questions",,,,"https://www.workbc.ca/Employment-Services/Community-Workforce-Response-Grant/Grant-Overview/CWRG-Frequently-Asked-Questions.aspx",
,,,,,,"Application Prep Checklist & Support",,,,"https://www.workbc.ca/getmedia/8d29590d-ee61-4164-ba1c-010b046284f2/Application-Prep-Checklist-Support.pdf.aspx",
,,,,,,"Claim Submission Guidelines",,,,"https://www.workbc.ca/getmedia/a6f270a5-bb06-4f75-93be-296dfcac6de2/Claim-Submission-Guidelines-CWRG.pdf.aspx",
,,,,,,"User Guides & Reference Documents",,,,"https://www.workbc.ca/getmedia/81dff387-d243-408c-88b5-7a7f65015e1d/User-Guides-and-Reference-Documents_description-page.pdf.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=dst01w&p=l2_-_bc_industries___sectors_-_approved&g=1",,,,"Financing for Students",,,,,"yes","https://www.workbc.ca/Training-Education/Finance-your-Education.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,"Scholarships, Bursaries & Loans ",,,,"yes","https://www.workbc.ca/Training-Education/Finance-your-Education/Scholarships-Bursaries-and-Loans.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,"Student Budgeting",,,,"yes","https://www.workbc.ca/Training-Education/Finance-your-Education/Student-Budgeting.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,"Indigenous Skills & Employment Training funding",,,,"yes","https://www.workbc.ca/Training-Education/Finance-your-Education/Indigenous-Skills-and-Employment-Training-funding.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=5q3hkt&p=l3_-_guide_to_using_labour_market_info_-_wip&g=1",,,,,"Services for Apprentices and Employers",,,,,"https://www.workbc.ca/Training-Education/Finance-your-Education/Apprenticeship-Financial-Supports.aspx",
,,,,,,,,,,,
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1","This is under discussion on whether it will stay as a page and if so where it will live in the IA or header/footer",,"COVID-19",,,,,,,"https://www.workbc.ca/Jobs-Careers/Working-During-COVID-19.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,"Learn About WorkBC.ca",,,,,,,"https://www.workbc.ca/About-Us.aspx",
,,,"Contact Us",,,,,,,"https://www.workbc.ca/Contact-Us.aspx",
,"This is under discussion, right now this is only accessible off the contact us page but we might add to header or footer",,"Contactez-nous",,,,,,,"https://www.workbc.ca/Contactez-nous.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=s5vw6o&p=search_results_-_wip&g=1",,,"Search Results",,,,,,,"https://www.workbc.ca/Search-Results.aspx",
,,,"Log in",,,,,,,"https://www.workbc.ca/Login.aspx",
,,,"Register",,,,,,,"https://www.workbc.ca/Account.aspx#/register",
,"This is a link to https://www2.gov.bc.ca/gov/content/home/accessible-government",,"Accessibility",,,,,,,"https://www.workbc.ca/Accessibility.aspx?viewmode=0",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,"Browsers",,,,,,,"https://www.workbc.ca/Browsers",
,"This is a link to https://www2.gov.bc.ca/gov/content/home/disclaimer",,"Disclaimer",,,,,,,"https://workbc.ca/Disclaimers.aspx",
,"This is a link to https://www2.gov.bc.ca/gov/content/home/privacy",,"Privacy",,,,,,,"https://www2.gov.bc.ca/gov/content/home/privacy",
,,,"Sitemap",,,,,,,"https://www.workbc.ca/Sitemap",
,,,"Job Seeker Terms of Use",,,,,,,"https://workbc.ca/JobSeekerTOU.aspx",
